ticker,side,contracts,entry_price,entry_ts,exit_price,exit_ts,exit_reason,fees,pnl
KXBTC15M-26AUG062000-00,yes,10,96,1786060413,100,1786060815,settlement,0.03,0.37
KXBTC15M-26AUG070130-30,no,10,95,1786080277,100,1786080618,settlement,0.04,0.46
KXBTC15M-26AUG070145-45,yes,10,95,1786081223,100,1786081514,settlement,0.04,0.46
KXBTC15M-26AUG070245-45,no,10,95,1786084759,100,1786085120,settlement,0.04,0.46
KXBTC15M-26AUG070300-00,no,10,95,1786085624,100,1786086006,settlement,0.04,0.46
KXBTC15M-26AUG070515-15,yes,10,95,1786093571,100,1786094113,settlement,0.04,0.46
KXBTC15M-26AUG070530-30,yes,10,96,1786094677,100,1786095009,settlement,0.03,0.37
KXBTC15M-26AUG070715-15,yes,10,95,1786100812,100,1786101315,settlement,0.04,0.46
KXBTC15M-26AUG070815-15,yes,10,97,1786104670,100,1786104921,settlement,0.03,0.27
KXBTC15M-26AUG070900-00,yes,10,96,1786107208,100,1786107629,settlement,0.03,0.37
KXBTC15M-26AUG071030-30,yes,10,96,1786112507,100,1786113019,settlement,0.03,0.37
KXBTC15M-26AUG071130-30,yes,10,97,1786116395,100,1786116616,settlement,0.03,0.27
KXBTC15M-26AUG071200-00,no,10,96,1786118077,100,1786118419,settlement,0.03,0.37
KXBTC15M-26AUG071215-15,yes,10,95,1786118963,100,1786119315,settlement,0.04,0.46
KXBTC15M-26AUG071345-45,yes,10,96,1786124415,100,1786124706,settlement,0.03,0.37
KXBTC15M-26AUG071415-15,yes,10,97,1786126118,100,1786126510,settlement,0.03,0.27
KXBTC15M-26AUG071500-00,no,10,96,1786128828,100,1786129250,settlement,0.03,0.37
KXBTC15M-26AUG071515-15,yes,10,97,1786129603,100,1786130115,settlement,0.03,0.27
KXBTC15M-26AUG071530-30,yes,10,97,1786130569,100,1786131051,settlement,0.03,0.27
KXBTC15M-26AUG071645-45,no,10,97,1786135314,100,1786135515,settlement,0.03,0.27
KXBTC15M-26AUG071730-30,no,10,95,1786137833,0,1786138234,settlement,0.04,-9.54
KXBTC15M-26AUG071845-45,no,10,95,1786142367,100,1786142718,settlement,0.04,0.46
KXBTC15M-26AUG071900-00,yes,10,96,1786143192,100,1786143624,settlement,0.03,0.37
KXBTC15M-26AUG071930-30,no,10,95,1786145317,100,1786145448,settlement,0.04,0.46
KXBTC15M-26AUG072000-00,yes,10,96,1786146899,100,1786147210,settlement,0.03,0.37
KXBTC15M-26AUG072015-15,yes,10,95,1786147704,0,1786148106,settlement,0.04,-9.54
KXBTC15M-26AUG072030-30,no,10,95,1786148670,100,1786149052,settlement,0.04,0.46
KXBTC15M-26AUG072130-30,no,10,95,1786152317,100,1786152609,settlement,0.04,0.46
KXBTC15M-26AUG072200-00,no,10,96,1786154171,100,1786154462,settlement,0.03,0.37
KXBTC15M-26AUG072215-15,no,10,96,1786155067,100,1786155318,settlement,0.03,0.37
KXBTC15M-26AUG072330-30,yes,10,95,1786159372,100,1786159824,settlement,0.04,0.46
KXBTC15M-26AUG080015-15,no,10,95,1786162152,100,1786162514,settlement,0.04,0.46
KXBTC15M-26AUG080100-00,no,10,95,1786164962,100,1786165233,settlement,0.04,0.46
KXBTC15M-26AUG080130-30,yes,10,96,1786166654,100,1786167046,settlement,0.03,0.37
KXBTC15M-26AUG080200-00,no,10,96,1786168356,100,1786168808,settlement,0.03,0.37
KXBTC15M-26AUG080300-00,yes,10,95,1786172092,100,1786172454,settlement,0.04,0.46
KXBTC15M-26AUG080345-45,no,10,95,1786174741,100,1786175113,settlement,0.04,0.46
KXBTC15M-26AUG080445-45,yes,10,95,1786178367,100,1786178718,settlement,0.04,0.46
KXBTC15M-26AUG080500-00,no,10,96,1786179313,100,1786179624,settlement,0.03,0.37
KXBTC15M-26AUG080530-30,yes,10,95,1786181186,100,1786181477,settlement,0.04,0.46
KXBTC15M-26AUG080730-30,no,10,95,1786188086,100,1786188618,settlement,0.04,0.46
KXBTC15M-26AUG080815-15,no,10,96,1786190896,0,1786191318,settlement,0.03,-9.63
KXBTC15M-26AUG080845-45,yes,10,96,1786192759,100,1786193120,settlement,0.03,0.37
KXBTC15M-26AUG080945-45,no,10,95,1786196527,100,1786196707,settlement,0.04,0.46
KXBTC15M-26AUG081030-30,yes,10,95,1786199056,100,1786199408,settlement,0.04,0.46
KXBTC15M-26AUG081045-45,yes,10,95,1786199912,0,1786200314,settlement,0.04,-9.54
KXBTC15M-26AUG081130-30,no,10,97,1786202873,100,1786203014,settlement,0.03,0.27
KXBTC15M-26AUG081145-45,no,10,97,1786203609,100,1786203910,settlement,0.03,0.27
KXBTC15M-26AUG081430-30,no,10,95,1786213344,100,1786213807,settlement,0.04,0.46
KXBTC15M-26AUG081600-00,yes,10,96,1786218878,100,1786219219,settlement,0.03,0.37
KXBTC15M-26AUG081630-30,no,10,95,1786220731,100,1786221013,settlement,0.04,0.46
KXBTC15M-26AUG081715-15,no,10,97,1786223503,100,1786223714,settlement,0.03,0.27
KXBTC15M-26AUG081800-00,no,10,96,1786226143,100,1786226404,settlement,0.03,0.37
KXBTC15M-26AUG081930-30,yes,10,96,1786231414,0,1786231835,settlement,0.03,-9.63
KXBTC15M-26AUG081945-45,yes,10,95,1786232430,100,1786232721,settlement,0.04,0.46
KXBTC15M-26AUG082045-45,yes,10,95,1786235906,100,1786236308,settlement,0.04,0.46
KXBTC15M-26AUG082315-15,no,10,96,1786245006,100,1786245327,settlement,0.03,0.37
KXBTC15M-26AUG090015-15,yes,10,95,1786248632,100,1786248914,settlement,0.04,0.46
KXBTC15M-26AUG090045-45,no,10,95,1786250506,100,1786250717,settlement,0.04,0.46
KXBTC15M-26AUG090230-30,yes,10,95,1786256621,100,1786257032,settlement,0.04,0.46
KXBTC15M-26AUG090245-45,yes,10,95,1786257566,100,1786257917,settlement,0.04,0.46
KXBTC15M-26AUG090345-45,no,10,95,1786261343,100,1786261514,settlement,0.04,0.46
KXBTC15M-26AUG090400-00,no,10,97,1786262249,100,1786262410,settlement,0.03,0.27
KXBTC15M-26AUG090415-15,yes,10,96,1786262702,100,1786263315,settlement,0.03,0.37
KXBTC15M-26AUG090600-00,yes,10,96,1786269249,100,1786269610,settlement,0.03,0.37
KXBTC15M-26AUG090615-15,yes,10,95,1786270064,100,1786270506,settlement,0.04,0.46
KXBTC15M-26AUG090700-00,yes,10,95,1786272793,100,1786273204,settlement,0.04,0.46
KXBTC15M-26AUG090745-45,yes,10,95,1786275703,100,1786275914,settlement,0.04,0.46
KXBTC15M-26AUG090815-15,no,10,95,1786277304,100,1786277706,settlement,0.04,0.46
KXBTC15M-26AUG090915-15,yes,10,96,1786280718,100,1786281310,settlement,0.03,0.37
KXBTC15M-26AUG090945-45,yes,10,95,1786282510,100,1786283112,settlement,0.04,0.46
KXBTC15M-26AUG091030-30,no,10,96,1786285401,100,1786285813,settlement,0.03,0.37
KXBTC15M-26AUG091100-00,yes,10,96,1786287294,100,1786287605,settlement,0.03,0.37
KXBTC15M-26AUG091245-45,yes,10,95,1786293401,100,1786293913,settlement,0.04,0.46
KXBTC15M-26AUG091315-15,no,10,96,1786295475,100,1786295716,settlement,0.03,0.37
KXBTC15M-26AUG091400-00,no,10,97,1786298005,100,1786298417,settlement,0.03,0.27
KXBTC15M-26AUG091530-30,yes,10,95,1786303416,100,1786303807,settlement,0.04,0.46
KXBTC15M-26AUG091545-45,no,10,96,1786304473,100,1786304714,settlement,0.03,0.37
KXBTC15M-26AUG091630-30,yes,10,95,1786306881,100,1786307404,settlement,0.04,0.46
KXBTC15M-26AUG091800-00,no,10,95,1786312434,100,1786312806,settlement,0.04,0.46
KXBTC15M-26AUG091815-15,yes,10,96,1786313219,100,1786313721,settlement,0.03,0.37
KXBTC15M-26AUG091830-30,no,10,97,1786314175,100,1786314609,settlement,0.03,0.27
KXBTC15M-26AUG091845-45,no,10,97,1786314912,100,1786315514,settlement,0.03,0.27
